customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CLV,ARPU,ServiceCount,EngagementScore,ContractRisk,SupportDependency,TenureGroup,Segment,SegmentName
8865-TNMNX,Male,0,1,1,10,1,0,DSL,0,1,0,0,0,0,One year,0,Mailed check,49.55,475.7,0,495.5,47.57,2,0.23344389165284687,1,1,New Customer,2,At Risk Newcomers
9489-DEDVP,Female,0,1,1,70,1,1,DSL,1,1,0,0,1,0,Two year,1,Credit card (automatic),69.2,4872.35,0,4844.0,69.605,5,0.7013957987838585,0,1,Very Loyal Customer,1,Loyal High Value
9867-JCZSP,Female,0,1,1,17,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.75,418.25,0,352.75,24.602941176470587,1,0.12866224433388612,1,0,Regular Customer,0,Budget Basic
4671-VJLCL,Female,0,0,0,63,1,1,DSL,1,1,1,1,1,0,Two year,1,Credit card (automatic),79.85,4861.45,0,5030.549999999999,77.16587301587302,7,0.7876451077943615,0,3,Very Loyal Customer,1,Loyal High Value
4080-IIARD,Female,0,1,0,13,1,1,DSL,1,1,0,1,1,0,Month-to-month,1,Electronic check,76.2,981.45,0,990.6,75.49615384615385,6,0.5023908236594804,2,2,Regular Customer,2,At Risk Newcomers
3714-NTNFO,Female,0,0,0,49,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.5,3906.7,0,4140.5,79.72857142857143,3,0.5715865118850193,2,0,Loyal Customer,3,Growing Engaged
5948-UJZLF,Male,0,0,0,2,1,0,DSL,0,1,0,0,0,0,Month-to-month,0,Mailed check,49.25,97.0,0,98.5,48.5,2,0.19541182974018798,2,1,New Customer,2,At Risk Newcomers
7760-OYPDY,Female,0,0,0,2,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.65,144.15,1,161.3,72.075,2,0.29955776672194584,2,0,New Customer,2,At Risk Newcomers
7639-LIAYI,Male,0,0,0,52,1,1,DSL,1,0,0,1,1,1,Two year,1,Credit card (automatic),79.75,4217.8,0,4147.0,81.11153846153846,6,0.6947208402432284,0,1,Loyal Customer,3,Growing Engaged
2954-PIBKO,Female,0,1,1,69,1,1,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),64.15,4254.1,0,4426.35,61.6536231884058,5,0.6800165837479271,0,2,Very Loyal Customer,3,Growing Engaged
8012-SOUDQ,Female,1,0,0,43,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,90.25,3838.75,0,3880.75,89.27325581395348,4,0.6045467108899945,2,1,Loyal Customer,3,Growing Engaged
9420-LOJKX,Female,0,0,0,15,1,0,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,1486.5,95.09333333333333,5,0.5459369817578773,2,1,Regular Customer,2,At Risk Newcomers
6575-SUVOI,Female,1,1,0,25,1,1,DSL,1,0,0,1,1,0,Month-to-month,1,Credit card (automatic),69.5,1752.65,0,1737.5,70.10600000000001,5,0.494057490326147,2,1,Regular Customer,3,Growing Engaged
7495-OOKFY,Female,1,1,0,8,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),80.65,633.3,1,645.2,79.1625,3,0.36900221116639026,2,1,New Customer,2,At Risk Newcomers
4667-QONEA,Female,1,1,1,60,1,0,DSL,1,1,1,1,0,1,One year,1,Credit card (automatic),74.85,4456.35,0,4491.0,74.27250000000001,6,0.7155058043117745,1,3,Loyal Customer,3,Growing Engaged
1658-BYGOY,Male,1,0,0,18,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,1752.55,1,1718.1000000000001,97.36388888888888,4,0.5060530679933665,2,0,Regular Customer,2,At Risk Newcomers
8769-KKTPH,Female,0,1,1,63,1,1,Fiber optic,1,0,0,0,1,1,One year,1,Credit card (automatic),99.65,6311.2,0,6277.950000000001,100.17777777777778,5,0.769983416252073,1,0,Very Loyal Customer,1,Loyal High Value
5067-XJQFU,Male,1,1,1,66,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Electronic check,108.45,7076.35,0,7157.7,107.21742424242424,7,0.8963930348258705,1,3,Very Loyal Customer,1,Loyal High Value
3957-SQXML,Female,0,1,1,34,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),24.95,894.3,0,848.3,26.302941176470586,2,0.26296296296296295,0,0,Regular Customer,0,Budget Basic
5954-BDFSG,Female,0,0,0,72,1,1,Fiber optic,0,0,1,1,1,1,Two year,1,Credit card (automatic),107.5,7853.7,0,7740.0,109.07916666666667,6,0.8793532338308457,0,2,Very Loyal Customer,1,Loyal High Value
0434-CSFON,Female,0,1,0,47,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.5,4707.1,0,4723.5,100.15106382978725,5,0.6987285793255942,2,1,Loyal Customer,3,Growing Engaged
1215-FIGMP,Male,0,0,0,60,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0,5394.0,90.845,4,0.6820895522388059,2,1,Loyal Customer,1,Loyal High Value
0526-SXDJP,Male,0,1,0,72,0,0,DSL,1,1,1,0,0,0,Two year,0,Bank transfer (automatic),42.1,2962.0,0,3031.2000000000003,41.138888888888886,3,0.5374378109452737,0,2,Very Loyal Customer,3,Growing Engaged
0557-ASKVU,Female,0,1,1,18,1,0,DSL,0,0,1,1,0,0,One year,1,Credit card (automatic),54.4,957.1,0,979.1999999999999,53.172222222222224,3,0.3282338308457711,1,2,Regular Customer,2,At Risk Newcomers
5698-BQJOH,Female,0,0,0,9,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Electronic check,94.4,857.25,1,849.6,95.25,4,0.4609038142620232,2,0,New Customer,2,At Risk Newcomers
5122-CYFXA,Female,0,0,0,3,1,0,DSL,0,1,0,1,1,1,Month-to-month,1,Electronic check,75.3,244.1,0,225.89999999999998,81.36666666666666,5,0.4114427860696517,2,2,New Customer,2,At Risk Newcomers
8627-ZYGSZ,Male,0,1,0,47,1,1,Fiber optic,0,1,0,0,0,0,One year,1,Electronic check,78.9,3650.35,0,3708.3,77.66702127659575,3,0.5437534549474847,1,1,Loyal Customer,3,Growing Engaged
3410-YOQBQ,Female,0,0,0,31,1,0,DSL,0,1,1,1,1,1,Two year,0,Mailed check,79.2,2497.2,0,2455.2000000000003,80.55483870967741,6,0.5956744057490326,0,3,Regular Customer,3,Growing Engaged
3170-NMYVV,Female,0,1,1,50,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.15,930.9,0,1007.4999999999999,18.618,1,0.2794499723604201,0,0,Loyal Customer,0,Budget Basic
7410-OIEDU,Male,0,0,0,10,1,0,Fiber optic,1,0,1,0,0,0,Month-to-month,1,Mailed check,79.85,887.35,0,798.5,88.735,3,0.37560807075732444,2,1,New Customer,2,At Risk Newcomers
2273-QCKXA,Male,0,0,0,1,1,0,DSL,0,0,0,1,0,0,Month-to-month,0,Mailed check,49.05,49.05,0,49.05,49.05,2,0.19011885019347705,2,1,New Customer,2,At Risk Newcomers
0731-EBJQB,Female,0,1,1,52,1,0,No,0,0,0,0,0,0,One year,1,Electronic check,20.4,1090.65,0,1060.8,20.974038461538463,1,0.28953841901603095,1,0,Loyal Customer,0,Budget Basic
1891-QRQSA,Male,1,1,1,64,1,1,Fiber optic,1,0,1,1,1,1,Two year,1,Bank transfer (automatic),111.6,7099.0,0,7142.4,110.921875,7,0.8975815367606411,0,2,Very Loyal Customer,1,Loyal High Value
8028-PNXHQ,Male,0,1,1,62,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),24.25,1424.6,0,1503.5,22.97741935483871,2,0.3902708678828082,0,0,Very Loyal Customer,0,Budget Basic
5630-AHZIL,Female,0,0,1,3,1,0,DSL,1,0,0,1,0,1,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0,193.5,59.13333333333333,4,0.333955223880597,2,1,New Customer,2,At Risk Newcomers
2673-CXQEU,Female,1,0,0,56,1,1,Fiber optic,1,1,1,0,1,1,One year,0,Electronic check,110.5,6139.5,0,6188.0,109.63392857142857,7,0.8568960751796572,1,2,Loyal Customer,1,Loyal High Value
6416-JNVRK,Female,0,0,0,46,1,0,DSL,0,0,0,0,0,1,One year,0,Credit card (automatic),55.65,2688.85,0,2559.9,58.45326086956521,2,0.42034273079049195,1,0,Loyal Customer,3,Growing Engaged
5590-ZSKRV,Female,0,1,1,8,1,0,DSL,1,1,0,0,0,0,Month-to-month,0,Mailed check,54.65,482.25,0,437.2,60.28125,3,0.28276672194582636,2,1,New Customer,2,At Risk Newcomers
0191-ZHSKZ,Male,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111.3,0,2242.5,70.37666666666668,5,0.5346185737976782,2,1,Regular Customer,3,Growing Engaged
3887-PBQAO,Female,0,1,1,45,1,1,No,0,0,0,0,0,0,One year,1,Credit card (automatic),25.9,1216.6,0,1165.5,27.035555555555554,2,0.3170398009950249,1,0,Loyal Customer,0,Budget Basic
5919-TMRGD,Female,0,0,1,1,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,79.35,79.35,1,79.35,79.35,2,0.29061636263128793,2,0,New Customer,2,At Risk Newcomers
8108-UXRQN,Female,0,1,1,11,0,0,DSL,1,0,0,0,1,1,Month-to-month,0,Electronic check,50.55,565.35,0,556.05,51.39545454545455,3,0.28305693753454947,2,0,New Customer,2,At Risk Newcomers
9191-MYQKX,Female,0,1,0,7,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,526.0500000000001,70.98571428571428,2,0.3044637921503593,2,1,New Customer,2,At Risk Newcomers
9919-YLNNG,Female,0,0,0,42,1,0,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0,4359.599999999999,103.03571428571429,6,0.7281923714759535,2,3,Loyal Customer,3,Growing Engaged
0318-ZOPWS,Female,0,1,0,49,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),20.15,973.35,0,987.3499999999999,19.864285714285714,1,0.2748203427307904,0,0,Loyal Customer,0,Budget Basic
4445-ZJNMU,Male,0,0,0,9,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.3,918.75,0,893.6999999999999,102.08333333333333,5,0.5188225538971808,2,1,New Customer,2,At Risk Newcomers
4808-YNLEU,Female,0,1,0,35,1,0,DSL,1,0,0,0,1,0,One year,1,Bank transfer (automatic),62.15,2215.45,0,2175.25,63.29857142857142,3,0.43264234383637373,1,0,Regular Customer,3,Growing Engaged
1862-QRWPE,Female,0,1,1,48,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.65,1057.0,0,991.1999999999999,22.020833333333332,1,0.27184908789386397,0,0,Loyal Customer,0,Budget Basic
2796-NNUFI,Female,0,1,1,46,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.95,927.1,0,917.6999999999999,20.15434782608696,1,0.2602681039248203,0,0,Loyal Customer,0,Budget Basic
3016-KSVCP,Male,0,1,0,29,0,0,DSL,0,0,0,0,1,0,Month-to-month,0,Mailed check,33.75,1009.25,0,978.75,34.80172413793103,1,0.22733554449972357,2,0,Regular Customer,0,Budget Basic
4767-HZZHQ,Male,0,1,1,30,1,0,Fiber optic,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),82.05,2570.2,0,2461.5,85.67333333333333,3,0.4754975124378109,2,2,Regular Customer,3,Growing Engaged
2424-WVHPL,Male,1,0,0,1,1,0,Fiber optic,0,0,0,1,0,0,Month-to-month,0,Electronic check,74.7,74.7,0,74.7,74.7,2,0.2751934770591487,2,1,New Customer,2,At Risk Newcomers
7233-PAHHL,Male,0,1,1,66,1,1,DSL,1,0,1,1,1,1,Two year,1,Mailed check,84.0,5714.25,0,5544.0,86.57954545454545,7,0.8152985074626865,0,2,Very Loyal Customer,1,Loyal High Value
6067-NGCEU,Female,0,0,0,65,1,1,Fiber optic,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),111.05,7107.0,0,7218.25,109.33846153846154,7,0.9003869541182974,2,2,Very Loyal Customer,1,Loyal High Value
9848-JQJTX,Male,0,0,0,72,1,1,Fiber optic,0,1,1,0,1,1,Two year,1,Bank transfer (automatic),100.9,7459.05,0,7264.8,103.59791666666666,6,0.8574626865671643,0,2,Very Loyal Customer,1,Loyal High Value
8637-XJIVR,Female,0,0,0,12,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,78.95,927.35,1,947.4000000000001,77.27916666666667,3,0.38188225538971804,2,0,New Customer,2,At Risk Newcomers
9803-FTJCG,Male,0,1,1,71,1,1,DSL,1,1,0,1,0,0,One year,1,Credit card (automatic),66.85,4748.7,0,4746.349999999999,66.8830985915493,5,0.6982310668877832,1,2,Very Loyal Customer,3,Growing Engaged
0278-YXOOG,Male,0,0,0,5,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,21.05,113.85,1,105.25,22.77,1,0.07410171365395246,2,0,New Customer,0,Budget Basic
3212-KXOCR,Male,0,0,0,52,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),21.0,1107.2,0,1092.0,21.292307692307695,1,0.29152846876727473,0,0,Loyal Customer,0,Budget Basic
4598-XLKNJ,Female,1,1,0,25,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.5,2514.5,1,2462.5,100.58,5,0.5902432283029299,2,2,Regular Customer,3,Growing Engaged
6380-ARCEH,Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.2,20.2,0,20.2,20.2,1,0.05276395798783858,2,0,New Customer,0,Budget Basic
3679-XASPY,Female,0,1,1,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,19.45,19.45,0,19.45,19.45,1,0.05027639579878385,2,0,New Customer,0,Budget Basic
7123-WQUHX,Male,0,0,0,38,1,1,Fiber optic,0,0,1,1,1,0,One year,0,Bank transfer (automatic),95.0,3605.6,0,3610.0,94.88421052631578,5,0.6388197899391929,1,2,Loyal Customer,3,Growing Engaged
5386-THSLQ,Female,1,1,0,66,0,0,DSL,0,1,1,0,1,0,One year,0,Bank transfer (automatic),45.55,3027.25,0,3006.2999999999997,45.86742424242424,3,0.5211028192371475,1,2,Very Loyal Customer,3,Growing Engaged
3192-NQECA,Male,0,1,0,68,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),110.0,7611.85,1,7480.0,111.93897058823529,7,0.9107932559425097,0,3,Very Loyal Customer,1,Loyal High Value
6180-YBIQI,Male,0,0,0,5,0,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,24.3,100.2,0,121.5,20.04,0,0.04321448313985627,2,0,New Customer,0,Budget Basic
6728-DKUCO,Female,0,1,1,72,1,1,Fiber optic,1,1,0,0,1,1,One year,1,Electronic check,104.15,7303.05,0,7498.8,101.43125,6,0.8682421227197347,1,1,Very Loyal Customer,1,Loyal High Value
9750-BOOHV,Female,0,0,0,32,0,0,DSL,1,0,0,0,0,0,One year,0,Mailed check,30.15,927.65,0,964.8,28.9890625,1,0.22928413488114976,1,0,Regular Customer,0,Budget Basic
8597-CWYHH,Male,0,0,0,43,1,1,Fiber optic,0,0,0,0,1,1,One year,0,Mailed check,94.35,3921.3,0,4057.0499999999997,91.19302325581396,4,0.6181453841901603,1,0,Loyal Customer,3,Growing Engaged
2848-YXSMW,Male,0,1,1,72,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.4,1363.25,0,1396.8,18.93402777777778,1,0.3788142620232173,0,0,Very Loyal Customer,0,Budget Basic
0486-HECZI,Male,0,1,0,55,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,96.75,5238.9,1,5321.25,95.25272727272727,5,0.7233278054173576,2,1,Loyal Customer,1,Loyal High Value
4549-ZDQYY,Female,0,0,0,52,1,0,DSL,1,0,1,1,0,0,One year,0,Credit card (automatic),57.95,3042.25,0,3013.4,58.50480769230769,4,0.5390823659480376,1,2,Loyal Customer,3,Growing Engaged
5712-AHQNN,Female,0,0,0,43,1,0,Fiber optic,0,1,1,0,1,0,Month-to-month,1,Electronic check,91.65,3954.1,0,3940.9500000000003,91.95581395348837,4,0.6091901603095633,2,2,Loyal Customer,3,Growing Engaged
4846-WHAFZ,Female,1,1,0,37,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,76.5,2868.15,1,2830.5,77.51756756756757,2,0.44783029297954674,2,0,Loyal Customer,3,Growing Engaged
5256-SKJGO,Female,0,1,1,64,0,0,DSL,0,1,0,1,1,1,Two year,1,Electronic check,54.6,3423.5,0,3494.4,53.4921875,4,0.583526810392482,0,2,Very Loyal Customer,3,Growing Engaged
3071-VBYPO,Male,0,1,1,3,1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,89.85,248.4,0,269.54999999999995,82.8,4,0.4180348258706467,2,1,New Customer,2,At Risk Newcomers
9560-BBZXK,Female,0,0,0,36,0,0,DSL,1,0,0,0,0,0,Two year,0,Bank transfer (automatic),31.05,1126.35,0,1117.8,31.287499999999998,1,0.250787728026534,0,0,Regular Customer,0,Budget Basic
5299-RULOA,Female,0,1,1,10,1,1,Fiber optic,1,0,0,0,1,1,Month-to-month,1,Electronic check,100.25,1064.65,1,1002.5,106.465,5,0.5266030956329463,2,0,New Customer,2,At Risk Newcomers
8402-OOOHJ,Female,0,0,0,41,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.65,835.15,0,846.65,20.36951219512195,1,0.23944168048645662,0,0,Loyal Customer,0,Budget Basic
9445-ZUEQE,Male,0,1,1,27,1,1,Fiber optic,0,1,0,1,0,0,Month-to-month,1,Credit card (automatic),85.2,2151.6,0,2300.4,79.68888888888888,4,0.5137230514096186,2,2,Regular Customer,3,Growing Engaged
1091-SOZGA,Female,0,1,1,56,1,1,Fiber optic,0,0,1,0,1,1,One year,1,Credit card (automatic),99.8,5515.45,0,5588.8,98.49017857142857,5,0.7380735212824764,1,1,Loyal Customer,1,Loyal High Value
